type,count,amount,name,year,quarter,state
TOTAL,1154,2756678.3077581595,upper siang district,2019,1,arunachal-pradesh
TOTAL,6877,14075747.836402504,tirap district,2019,1,arunachal-pradesh
TOTAL,70941,188556716.3567257,papum pare district,2019,1,arunachal-pradesh
TOTAL,740,2076644.1215012982,kurung kumey district,2019,1,arunachal-pradesh
TOTAL,2116,4643030.795590812,anjaw district,2019,1,arunachal-pradesh
TOTAL,1282,2552682.037255951,siang district,2019,1,arunachal-pradesh
TOTAL,3565,6923301.927893572,lower siang district,2019,1,arunachal-pradesh
TOTAL,1070,3797175.4842446605,kra daadi district,2019,1,arunachal-pradesh
TOTAL,17589,40239141.669717625,changlang district,2019,1,arunachal-pradesh
TOTAL,545,1682922.8373646357,pakke kessang district,2019,1,arunachal-pradesh
TOTAL,102,301591.38639926765,dibang valley district,2019,1,arunachal-pradesh
TOTAL,34289,101333633.67604163,west kameng district,2019,1,arunachal-pradesh
TOTAL,19,212989.63045272,shi yomi district,2019,1,arunachal-pradesh
TOTAL,15621,39284373.05409969,east siang district,2019,1,arunachal-pradesh
TOTAL,3880,14105451.853243299,upper subansiri district,2019,1,arunachal-pradesh
TOTAL,2688,9107597.731491327,east kameng district,2019,1,arunachal-pradesh
TOTAL,15896,42834776.778045304,lohit district,2019,1,arunachal-pradesh
TOTAL,1523,4054526.308789035,lepa rada district,2019,1,arunachal-pradesh
TOTAL,13102,39489779.13784294,tawang district,2019,1,arunachal-pradesh
TOTAL,8600,20065516.616355177,namsai district,2019,1,arunachal-pradesh
TOTAL,5819,13737167.7479776,lower dibang valley district,2019,2,arunachal-pradesh
TOTAL,5579,14746949.652010633,lower subansiri district,2019,2,arunachal-pradesh
TOTAL,6744,23464027.892812617,longding district,2019,2,arunachal-pradesh
TOTAL,8041,24549832.977181494,west siang district,2019,2,arunachal-pradesh
TOTAL,414,1136776.6962042823,kamle district,2019,2,arunachal-pradesh
TOTAL,1079,3993676.3296563537,upper siang district,2019,2,arunachal-pradesh
TOTAL,6868,18633793.43372325,tirap district,2019,2,arunachal-pradesh
TOTAL,86433,246640891.34861866,papum pare district,2019,2,arunachal-pradesh
TOTAL,1427,4036511.9338615797,kurung kumey district,2019,2,arunachal-pradesh
TOTAL,2473,5220589.920801567,anjaw district,2019,2,arunachal-pradesh
TOTAL,1654,5373179.351887872,siang district,2019,2,arunachal-pradesh
TOTAL,3791,7075961.239041175,lower siang district,2019,2,arunachal-pradesh
TOTAL,1447,4315353.218765283,kra daadi district,2019,2,arunachal-pradesh
TOTAL,18631,48891048.26477764,changlang district,2019,2,arunachal-pradesh
TOTAL,687,1750138.0587616218,pakke kessang district,2019,2,arunachal-pradesh
TOTAL,98,214966.6162180208,dibang valley district,2019,2,arunachal-pradesh
TOTAL,37430,122521180.75595039,west kameng district,2019,2,arunachal-pradesh
TOTAL,13,65209.39364354455,shi yomi district,2019,2,arunachal-pradesh
TOTAL,16494,46549881.23941852,east siang district,2019,2,arunachal-pradesh
TOTAL,4827,18395806.566284098,upper subansiri district,2019,2,arunachal-pradesh
TOTAL,2309,8996397.735290494,east kameng district,2019,2,arunachal-pradesh
TOTAL,18693,48893746.831022196,lohit district,2019,2,arunachal-pradesh
TOTAL,2108,5045595.906781289,lepa rada district,2019,2,arunachal-pradesh
TOTAL,15960,55915834.5871187,tawang district,2019,2,arunachal-pradesh
TOTAL,9637,22491356.65721929,namsai district,2019,2,arunachal-pradesh
TOTAL,8405,15177864.63915902,lower dibang valley district,2019,3,arunachal-pradesh
TOTAL,8828,21059967.49943525,lower subansiri district,2019,3,arunachal-pradesh
TOTAL,10269,26620415.01923828,longding district,2019,3,arunachal-pradesh
TOTAL,11889,30014806.816802975,west siang district,2019,3,arunachal-pradesh
TOTAL,677,968784.5134103607,kamle district,2019,3,arunachal-pradesh
TOTAL,1419,3927440.4417752204,upper siang district,2019,3,arunachal-pradesh
TOTAL,11249,21737827.19336869,tirap district,2019,3,arunachal-pradesh
TOTAL,117940,301518075.7016427,papum pare district,2019,3,arunachal-pradesh
TOTAL,1579,3674797.099413435,kurung kumey district,2019,3,arunachal-pradesh
TOTAL,4230,9665384.074972186,anjaw district,2019,3,arunachal-pradesh
TOTAL,2640,6888800.898705382,siang district,2019,3,arunachal-pradesh
TOTAL,5348,9507511.569068512,lower siang district,2019,3,arunachal-pradesh
TOTAL,2187,5520848.186492377,kra daadi district,2019,3,arunachal-pradesh
TOTAL,29218,58354823.443366826,changlang district,2019,3,arunachal-pradesh
TOTAL,977,2145842.2925678995,pakke kessang district,2019,3,arunachal-pradesh
TOTAL,202,675909.9962923382,dibang valley district,2019,3,arunachal-pradesh
TOTAL,53939,147186019.8759076,west kameng district,2019,3,arunachal-pradesh
TOTAL,27,30367.754712275342,shi yomi district,2019,3,arunachal-pradesh
TOTAL,22611,58040119.9573143,east siang district,2019,3,arunachal-pradesh
TOTAL,7803,22099628.49449406,upper subansiri district,2019,3,arunachal-pradesh
TOTAL,3814,10631335.871797245,east kameng district,2019,3,arunachal-pradesh
TOTAL,24505,54539458.21434432,lohit district,2019,3,arunachal-pradesh
TOTAL,2928,4930337.942058578,lepa rada district,2019,3,arunachal-pradesh
TOTAL,24097,72221026.28393415,tawang district,2019,3,arunachal-pradesh
TOTAL,13453,25507641.015596062,namsai district,2019,3,arunachal-pradesh
TOTAL,10376,21103089.24170351,lower dibang valley district,2019,4,arunachal-pradesh
TOTAL,11806,29634357.486805215,lower subansiri district,2019,4,arunachal-pradesh
TOTAL,11018,29245021.393976457,longding district,2019,4,arunachal-pradesh
TOTAL,14581,39460255.46641725,west siang district,2019,4,arunachal-pradesh
TOTAL,999,1620922.3277442688,kamle district,2019,4,arunachal-pradesh
TOTAL,4165,12739585.638734035,upper siang district,2019,4,arunachal-pradesh
TOTAL,16459,38467790.7269052,tirap district,2019,4,arunachal-pradesh
TOTAL,143272,378838002.3434037,papum pare district,2019,4,arunachal-pradesh
TOTAL,1343,4526789.748638094,kurung kumey district,2019,4,arunachal-pradesh
TOTAL,5417,11887950.534618177,anjaw district,2019,4,arunachal-pradesh
TOTAL,4756,8833695.424992222,siang district,2019,4,arunachal-pradesh
TOTAL,6628,11985865.259161524,lower siang district,2019,4,arunachal-pradesh
TOTAL,2830,7804936.327522229,kra daadi district,2019,4,arunachal-pradesh
TOTAL,33963,71874990.9639822,changlang district,2019,4,arunachal-pradesh
TOTAL,1194,2287739.0120923957,pakke kessang district,2019,4,arunachal-pradesh
TOTAL,267,1240493.0270471391,dibang valley district,2019,4,arunachal-pradesh
TOTAL,66740,198205637.50055438,west kameng district,2019,4,arunachal-pradesh
TOTAL,232,170772.72677991798,shi yomi district,2019,4,arunachal-pradesh
TOTAL,26605,72075285.44344108,east siang district,2019,4,arunachal-pradesh
TOTAL,9285,28319761.873849634,upper subansiri district,2019,4,arunachal-pradesh
TOTAL,5646,19408662.74847077,east kameng district,2019,4,arunachal-pradesh
TOTAL,29281,67502324.59236205,lohit district,2019,4,arunachal-pradesh
TOTAL,4245,8888753.875914622,lepa rada district,2019,4,arunachal-pradesh
TOTAL,30077,91949243.6071119,tawang district,2019,4,arunachal-pradesh
TOTAL,18290,32501252.235055383,namsai district,2019,4,arunachal-pradesh
TOTAL,14400,29552510.9414332,lower dibang valley district,2020,1,arunachal-pradesh
TOTAL,15770,34273250.7179902,lower subansiri district,2020,1,arunachal-pradesh
TOTAL,13240,35267439.983279385,longding district,2020,1,arunachal-pradesh
TOTAL,19728,47929440.73153875,west siang district,2020,1,arunachal-pradesh
TOTAL,1434,3418975.8263023924,kamle district,2020,1,arunachal-pradesh
TOTAL,7055,17820679.64619372,upper siang district,2020,1,arunachal-pradesh
TOTAL,18369,40877851.79372531,tirap district,2020,1,arunachal-pradesh
TOTAL,180373,457430754.1595316,papum pare district,2020,1,arunachal-pradesh
TOTAL,2294,5942677.061635139,kurung kumey district,2020,1,arunachal-pradesh
TOTAL,5025,12808735.858744403,anjaw district,2020,1,arunachal-pradesh
TOTAL,5136,11962344.13711079,siang district,2020,1,arunachal-pradesh
TOTAL,8047,15520255.403975137,lower siang district,2020,1,arunachal-pradesh
TOTAL,3407,10045462.795181293,kra daadi district,2020,1,arunachal-pradesh
TOTAL,43858,93461363.58699805,changlang district,2020,1,arunachal-pradesh
TOTAL,2044,3425821.315796173,pakke kessang district,2020,1,arunachal-pradesh
TOTAL,397,878784.5955219769,dibang valley district,2020,1,arunachal-pradesh
TOTAL,75363,198712422.2374845,west kameng district,2020,1,arunachal-pradesh
TOTAL,117,566189.9936512378,shi yomi district,2020,1,arunachal-pradesh
TOTAL,33743,82011539.42531273,east siang district,2020,1,arunachal-pradesh
TOTAL,12313,33686711.81345673,upper subansiri district,2020,1,arunachal-pradesh
TOTAL,7379,20456070.89377439,east kameng district,2020,1,arunachal-pradesh
TOTAL,36985,83701268.27182505,lohit district,2020,1,arunachal-pradesh
TOTAL,5721,11137993.767266009,lepa rada district,2020,1,arunachal-pradesh
TOTAL,31865,84425193.41571434,tawang district,2020,1,arunachal-pradesh
TOTAL,23112,46444942.9567038,namsai district,2020,1,arunachal-pradesh
TOTAL,26234,42360072.526896134,lower dibang valley district,2020,2,arunachal-pradesh
TOTAL,25703,46133123.517396785,lower subansiri district,2020,2,arunachal-pradesh
TOTAL,20664,54678022.50234371,longding district,2020,2,arunachal-pradesh
TOTAL,32777,72790231.05472675,west siang district,2020,2,arunachal-pradesh
TOTAL,2397,4126243.0778709752,kamle district,2020,2,arunachal-pradesh
TOTAL,10899,28048492.10512026,upper siang district,2020,2,arunachal-pradesh
TOTAL,28830,63497030.840810165,tirap district,2020,2,arunachal-pradesh
TOTAL,221728,535085907.34048563,papum pare district,2020,2,arunachal-pradesh
TOTAL,3847,11359743.457053192,kurung kumey district,2020,2,arunachal-pradesh
TOTAL,7617,18795023.531477228,anjaw district,2020,2,arunachal-pradesh
TOTAL,9827,18585670.46796793,siang district,2020,2,arunachal-pradesh
TOTAL,13321,23571085.32253689,lower siang district,2020,2,arunachal-pradesh
TOTAL,5264,15730996.227462547,kra daadi district,2020,2,arunachal-pradesh
TOTAL,69279,128572447.99797386,changlang district,2020,2,arunachal-pradesh
TOTAL,3558,4635272.064395212,pakke kessang district,2020,2,arunachal-pradesh
TOTAL,966,2559724.8369189673,dibang valley district,2020,2,arunachal-pradesh
TOTAL,95421,251395972.22505817,west kameng district,2020,2,arunachal-pradesh
TOTAL,302,1222863.4358782358,shi yomi district,2020,2,arunachal-pradesh
TOTAL,55680,112693868.8099896,east siang district,2020,2,arunachal-pradesh
TOTAL,18056,43140688.970285244,upper subansiri district,2020,2,arunachal-pradesh
TOTAL,11791,40506284.272980645,east kameng district,2020,2,arunachal-pradesh
TOTAL,56541,114730675.47714493,lohit district,2020,2,arunachal-pradesh
TOTAL,8601,16064862.366431037,lepa rada district,2020,2,arunachal-pradesh
TOTAL,44499,121561732.24171817,tawang district,2020,2,arunachal-pradesh
TOTAL,34972,54870798.31404532,namsai district,2020,2,arunachal-pradesh
TOTAL,27655,63469161.328603886,lower dibang valley district,2020,3,arunachal-pradesh
TOTAL,26596,59707234.22223007,lower subansiri district,2020,3,arunachal-pradesh
TOTAL,21445,63273209.984560445,longding district,2020,3,arunachal-pradesh
TOTAL,34295,92449732.96070345,west siang district,2020,3,arunachal-pradesh
TOTAL,2618,5300885.9328534985,kamle district,2020,3,arunachal-pradesh
TOTAL,12707,40210852.98915006,upper siang district,2020,3,arunachal-pradesh
TOTAL,30046,81539831.5295825,tirap district,2020,3,arunachal-pradesh
TOTAL,298350,859373863.7202578,papum pare district,2020,3,arunachal-pradesh
TOTAL,4391,13864822.733226534,kurung kumey district,2020,3,arunachal-pradesh
TOTAL,9751,31524690.460289024,anjaw district,2020,3,arunachal-pradesh
TOTAL,10489,21236201.531454768,siang district,2020,3,arunachal-pradesh
TOTAL,12456,28754627.349573277,lower siang district,2020,3,arunachal-pradesh
TOTAL,5676,16181045.612635879,kra daadi district,2020,3,arunachal-pradesh
TOTAL,73842,159158438.92541084,changlang district,2020,3,arunachal-pradesh
TOTAL,3469,6301715.335375749,pakke kessang district,2020,3,arunachal-pradesh
TOTAL,899,3061207.2925078664,dibang valley district,2020,3,arunachal-pradesh
TOTAL,111029,332812237.8096209,west kameng district,2020,3,arunachal-pradesh
TOTAL,521,3410288.130911609,shi yomi district,2020,3,arunachal-pradesh
TOTAL,69710,176323789.94437826,east siang district,2020,3,arunachal-pradesh
TOTAL,24387,70811197.57521853,upper subansiri district,2020,3,arunachal-pradesh
TOTAL,13421,43881134.37096395,east kameng district,2020,3,arunachal-pradesh
TOTAL,65889,156523653.1864311,lohit district,2020,3,arunachal-pradesh
TOTAL,10150,22146313.373236045,lepa rada district,2020,3,arunachal-pradesh
TOTAL,56016,182137862.72423625,tawang district,2020,3,arunachal-pradesh
TOTAL,37019,76484566.53480485,namsai district,2020,3,arunachal-pradesh
TOTAL,33455,81929299.56817816,lower dibang valley district,2020,4,arunachal-pradesh
TOTAL,31411,97681186.89595497,lower subansiri district,2020,4,arunachal-pradesh
TOTAL,26089,74890543.91561158,longding district,2020,4,arunachal-pradesh
TOTAL,45207,125118193.0493962,west siang district,2020,4,arunachal-pradesh
TOTAL,3611,10000596.409396999,kamle district,2020,4,arunachal-pradesh
TOTAL,19943,78146755.88828371,upper siang district,2020,4,arunachal-pradesh
TOTAL,36124,104709589.6601958,tirap district,2020,4,arunachal-pradesh
TOTAL,390528,1205917753.7046227,papum pare district,2020,4,arunachal-pradesh
TOTAL,4581,17134470.4444281,kurung kumey district,2020,4,arunachal-pradesh
TOTAL,17228,49318880.51759694,anjaw district,2020,4,arunachal-pradesh
TOTAL,12962,32619173.238261122,siang district,2020,4,arunachal-pradesh
TOTAL,14782,33891568.64514145,lower siang district,2020,4,arunachal-pradesh
TOTAL,7619,30458774.811469436,kra daadi district,2020,4,arunachal-pradesh
TOTAL,84852,204367875.07299304,changlang district,2020,4,arunachal-pradesh
TOTAL,3064,7503555.503947843,pakke kessang district,2020,4,arunachal-pradesh
TOTAL,1705,6749773.196253154,dibang valley district,2020,4,arunachal-pradesh
TOTAL,129575,390436113.7366377,west kameng district,2020,4,arunachal-pradesh
TOTAL,1103,6627025.636333689,shi yomi district,2020,4,arunachal-pradesh
TOTAL,88632,250515095.18896666,east siang district,2020,4,arunachal-pradesh
TOTAL,31426,109405900.7987589,upper subansiri district,2020,4,arunachal-pradesh
TOTAL,16340,64104581.33887266,east kameng district,2020,4,arunachal-pradesh
TOTAL,80530,196997836.79933694,lohit district,2020,4,arunachal-pradesh
TOTAL,14338,39340491.723573,lepa rada district,2020,4,arunachal-pradesh
TOTAL,67262,240482254.58453605,tawang district,2020,4,arunachal-pradesh
TOTAL,46762,111916731.51687588,namsai district,2020,4,arunachal-pradesh
TOTAL,32427,90709108.52350861,lower dibang valley district,2021,1,arunachal-pradesh
TOTAL,29916,106591162.96103427,lower subansiri district,2021,1,arunachal-pradesh
TOTAL,23962,75573420.97022958,longding district,2021,1,arunachal-pradesh
TOTAL,42575,138700637.29161483,west siang district,2021,1,arunachal-pradesh
TOTAL,3092,11023767.702559106,kamle district,2021,1,arunachal-pradesh
TOTAL,21312,73026286.55263102,upper siang district,2021,1,arunachal-pradesh
TOTAL,32043,110593517.1462319,tirap district,2021,1,arunachal-pradesh
TOTAL,419891,1388723426.7156572,papum pare district,2021,1,arunachal-pradesh
TOTAL,4962,22483754.80073421,kurung kumey district,2021,1,arunachal-pradesh
TOTAL,12823,38844865.55268997,anjaw district,2021,1,arunachal-pradesh
TOTAL,13679,42644184.41156319,siang district,2021,1,arunachal-pradesh
TOTAL,13231,37929392.80129131,lower siang district,2021,1,arunachal-pradesh
TOTAL,6393,24326518.988243874,kra daadi district,2021,1,arunachal-pradesh
TOTAL,78849,220167765.51868472,changlang district,2021,1,arunachal-pradesh
TOTAL,3563,8146941.7919960935,pakke kessang district,2021,1,arunachal-pradesh
TOTAL,1930,7949867.973505622,dibang valley district,2021,1,arunachal-pradesh
TOTAL,120906,384735272.8434415,west kameng district,2021,1,arunachal-pradesh
TOTAL,1251,6905518.17317189,shi yomi district,2021,1,arunachal-pradesh
TOTAL,82357,253988360.79783517,east siang district,2021,1,arunachal-pradesh
TOTAL,28053,116973014.48753676,upper subansiri district,2021,1,arunachal-pradesh
TOTAL,16281,77915774.21328105,east kameng district,2021,1,arunachal-pradesh
TOTAL,72380,198534806.934188,lohit district,2021,1,arunachal-pradesh
TOTAL,15690,52794992.77695303,lepa rada district,2021,1,arunachal-pradesh
TOTAL,54137,207859088.41115895,tawang district,2021,1,arunachal-pradesh
TOTAL,45753,116637630.67690115,namsai district,2021,1,arunachal-pradesh
TOTAL,42091,105552358.12192997,lower dibang valley district,2021,2,arunachal-pradesh
TOTAL,40081,120717472.89200453,lower subansiri district,2021,2,arunachal-pradesh
TOTAL,31640,96566640.5347223,longding district,2021,2,arunachal-pradesh
TOTAL,59341,180700138.79997098,west siang district,2021,2,arunachal-pradesh
TOTAL,5476,17345427.03524171,kamle district,2021,2,arunachal-pradesh
TOTAL,25971,89455180.0696969,upper siang district,2021,2,arunachal-pradesh
TOTAL,46320,144548683.3225929,tirap district,2021,2,arunachal-pradesh
TOTAL,552953,1501062555.477559,papum pare district,2021,2,arunachal-pradesh
TOTAL,6623,27396796.623303153,kurung kumey district,2021,2,arunachal-pradesh
TOTAL,15311,43475744.23676274,anjaw district,2021,2,arunachal-pradesh
TOTAL,17032,52687221.42695154,siang district,2021,2,arunachal-pradesh
TOTAL,17401,45499278.56988002,lower siang district,2021,2,arunachal-pradesh
TOTAL,8758,35998227.60012327,kra daadi district,2021,2,arunachal-pradesh
